Linux 6.14.0-37-generic (sameer-HP-Pavilion-Laptop-15-eg2xxx) 	02/03/2026 	_x86_64_	(16 CPU)

06:49:03 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:50:04 PM  all   30.69    0.00    3.96    0.00    0.00    0.99    0.00    0.00    0.00   64.36
06:50:05 PM  all   23.47    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   73.47
06:50:06 PM  all   22.22    0.00    5.05    2.02    0.00    0.00    0.00    0.00    0.00   70.71
06:50:07 PM  all   28.00    0.00    2.00    0.00    0.00    2.00    0.00    0.00    0.00   68.00
06:50:08 PM  all   36.36    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   59.60
06:50:09 PM  all   31.31    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   64.65
06:50:10 PM  all   25.51    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   70.41
06:50:11 PM  all   21.21    0.00    3.03    2.02    0.00    1.01    0.00    0.00    0.00   72.73
06:50:12 PM  all   16.16    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   79.80
06:50:13 PM  all   29.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00   67.00
06:50:14 PM  all   17.17    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   78.79
06:50:15 PM  all   26.26    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   70.71
06:50:16 PM  all   22.00    1.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   73.00
06:50:17 PM  all   25.25    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   69.70
06:50:18 PM  all   31.00    0.00    5.00    1.00    0.00    1.00    0.00    0.00    0.00   62.00
06:50:19 PM  all   29.00    0.00    4.00    0.00    0.00    1.00    0.00    0.00    0.00   66.00
06:50:20 PM  all   21.21    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   74.75
06:50:21 PM  all   24.24    0.00    4.04    2.02    0.00    1.01    0.00    0.00    0.00   68.69
06:50:22 PM  all   23.23    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   72.73
06:50:23 PM  all   20.20    0.00    5.05    0.00    0.00    1.01    0.00    0.00    0.00   73.74
06:50:24 PM  all   30.61    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   65.31
