Linux 6.14.0-37-generic (sameer-HP-Pavilion-Laptop-15-eg2xxx) 	02/03/2026 	_x86_64_	(16 CPU)

08:10:39 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:11:40 PM  all   96.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
08:11:41 PM  all   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:11:42 PM  all   96.04    0.00    2.97    0.00    0.00    0.99    0.00    0.00    0.00    0.00
08:11:43 PM  all   97.98    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:11:44 PM  all   96.04    0.00    2.97    0.00    0.00    0.99    0.00    0.00    0.00    0.00
08:11:45 PM  all   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:11:46 PM  all   96.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
08:11:47 PM  all   96.97    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:11:48 PM  all   98.02    0.00    0.99    0.00    0.00    0.99    0.00    0.00    0.00    0.00
08:11:49 PM  all   96.97    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:11:50 PM  all   96.04    0.00    2.97    0.00    0.00    0.99    0.00    0.00    0.00    0.00
08:11:51 PM  all   96.97    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00    0.00
08:11:52 PM  all   96.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:11:53 PM  all   96.04    0.00    2.97    0.00    0.00    0.99    0.00    0.00    0.00    0.00
08:11:54 PM  all   97.98    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:11:55 PM  all   96.04    0.00    2.97    0.00    0.00    0.99    0.00    0.00    0.00    0.00
08:11:56 PM  all   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:11:57 PM  all   96.97    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00    0.00
08:11:58 PM  all   98.02    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:11:59 PM  all   97.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
08:12:00 PM  all   96.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
08:12:01 PM  all   96.97    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00    0.00
08:12:02 PM  all   96.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
08:12:03 PM  all   96.04    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:12:04 PM  all   96.97    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00    0.00
08:12:05 PM  all   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:12:06 PM  all   96.04    0.00    2.97    0.00    0.00    0.99    0.00    0.00    0.00    0.00
08:12:07 PM  all   97.98    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:12:08 PM  all   96.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
08:12:09 PM  all   97.03    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:12:10 PM  all   97.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
08:12:11 PM  all   96.97    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:12:12 PM  all   96.04    0.00    2.97    0.00    0.00    0.99    0.00    0.00    0.00    0.00
08:12:13 PM  all   90.82    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00    6.12
08:12:14 PM  all   91.18    0.00    2.94    0.00    0.00    0.98    0.00    0.00    0.00    4.90
08:12:15 PM  all   88.66    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00    9.28
08:12:16 PM  all   94.17    0.00    2.91    0.00    0.00    0.97    0.00    0.00    0.00    1.94
08:12:17 PM  all   97.98    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:12:18 PM  all   97.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
08:12:19 PM  all   86.87    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   10.10
08:12:20 PM  all   95.00    0.00    4.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
08:12:21 PM  all   86.14    0.00    2.97    0.00    0.00    0.99    0.00    0.00    0.00    9.90
08:12:22 PM  all   96.97    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00
