event,time,req_id,user_id,val1,val2
ARRIVAL,3320.838,100,2674,53.129,22145.966
ARRIVAL,3322.516,101,1142,43.443,21016.924
ARRIVAL,3325.070,102,1739,72.407,20708.412
ARRIVAL,3326.968,103,963,24.586,24919.813
COMPLETE,3330.494,65,265,100.725
ARRIVAL,3332.867,104,1765,97.819,28834.320
ARRIVAL,3336.807,105,234,1.816,27395.044
ARRIVAL,3339.684,106,545,113.492,26815.587
ARRIVAL,3343.792,107,1326,39.340,28878.241
COMPLETE,3343.820,31,2799,187.177
COMPLETE,3343.840,24,1841,216.661
ARRIVAL,3344.395,108,1395,3.983,27197.456
ARRIVAL,3344.597,109,1440,3.901,21595.594
ARRIVAL,3347.089,110,2261,143.305,21083.495
ARRIVAL,3348.879,111,1500,67.554,21019.365
COMPLETE,3351.656,59,1392,128.627
ARRIVAL,3352.691,112,2888,53.171,28339.300
ARRIVAL,3353.412,113,602,20.248,22603.049
ARRIVAL,3355.755,114,1615,34.783,26636.299
COMPLETE,3359.066,74,872,111.911
ARRIVAL,3359.642,115,2596,17.550,23609.763
ARRIVAL,3359.678,116,1675,29.741,25797.962
ARRIVAL,3362.478,117,2702,37.909,27314.048
ARRIVAL,3363.240,118,79,2.675,21249.917
ARRIVAL,3365.066,119,2348,15.477,29987.484
ARRIVAL,3365.548,120,1978,13.179,27338.863
ARRIVAL,3365.741,121,344,73.257,26277.424
ARRIVAL,3366.770,122,567,3.941,23134.447
ARRIVAL,3366.918,123,1715,24.334,23343.451
ARRIVAL,3368.102,124,2075,187.259,25008.769
ARRIVAL,3370.800,125,1621,5.196,25829.467
ARRIVAL,3371.641,126,336,23.249,21853.911
ARRIVAL,3372.005,127,1736,164.702,29968.273
ARRIVAL,3372.675,128,2250,18.649,22401.177
ARRIVAL,3373.141,129,822,18.807,20785.672
ARRIVAL,3374.159,130,395,86.361,29635.914
ARRIVAL,3374.540,131,882,5.732,29907.041
ARRIVAL,3379.155,132,199,98.511,29058.135
ARRIVAL,3379.239,133,1081,28.171,29609.857
ARRIVAL,3380.951,134,2366,4.593,23836.275
ARRIVAL,3382.370,135,1273,160.411,24625.082
ARRIVAL,3382.544,136,2691,30.291,20676.857
COMPLETE,3382.988,35,2184,216.101
ARRIVAL,3383.100,137,2923,86.998,26017.220
ARRIVAL,3384.072,138,2257,46.331,27820.639
ARRIVAL,3386.331,139,305,18.232,24634.816
ARRIVAL,3387.749,140,2415,131.108,20602.368
ARRIVAL,3389.522,141,542,27.481,26869.406
ARRIVAL,3389.577,142,2604,91.507,26896.886
ARRIVAL,3390.177,143,109,16.591,27291.729
ARRIVAL,3390.263,144,2129,147.175,27094.883
ARRIVAL,3391.307,145,2590,14.021,22438.855
ARRIVAL,3393.251,146,2170,14.804,27748.888
ARRIVAL,3393.308,147,2087,69.773,22783.531
COMPLETE,3394.650,82,2372,117.279
ARRIVAL,3396.395,148,2132,46.573,21168.514
ARRIVAL,3396.613,149,1832,63.502,29103.935
ARRIVAL,3400.558,150,332,22.453,21451.228
ARRIVAL,3402.188,151,0,37.722,23574.758
ARRIVAL,3403.987,152,2391,8.726,26132.553
ARRIVAL,3407.991,153,433,22.522,23882.526
ARRIVAL,3408.432,154,127,112.158,24167.583
ARRIVAL,3412.840,155,852,44.741,28549.276
ARRIVAL,3414.371,156,1502,89.221,25158.460
ARRIVAL,3415.082,157,1151,127.210,26763.311
ARRIVAL,3415.547,158,842,16.092,26243.576
ARRIVAL,3415.992,159,524,66.297,20475.795
ARRIVAL,3416.398,160,2448,9.244,22004.473
ARRIVAL,3418.837,161,1036,74.328,28282.245
ARRIVAL,3418.912,162,1431,60.290,25350.700
ARRIVAL,3423.921,163,190,55.935,27684.623
ARRIVAL,3424.677,164,2407,21.109,25584.348
ARRIVAL,3430.134,165,169,105.933,22274.741
COMPLETE,3432.343,84,2010,154.111
ARRIVAL,3436.202,166,1252,94.130,20313.440
ARRIVAL,3436.855,167,1544,18.952,23507.881
ARRIVAL,3437.139,168,2148,72.502,26755.363
ARRIVAL,3438.140,169,1065,125.293,22557.844
ARRIVAL,3439.171,170,91,136.963,23482.484
ARRIVAL,3439.822,171,1473,163.805,21229.611
COMPLETE,3442.192,89,2963,153.822
ARRIVAL,3445.681,172,201,2.688,24926.974
ARRIVAL,3447.469,173,1037,69.594,23990.148
ARRIVAL,3447.860,174,2082,84.347,29599.388
ARRIVAL,3448.611,175,951,38.917,29281.635
ARRIVAL,3448.941,176,2173,110.177,24987.213
ARRIVAL,3451.366,177,2871,35.655,25230.250
ARRIVAL,3451.962,178,139,100.138,29205.452
ARRIVAL,3454.651,179,269,52.827,21353.713
ARRIVAL,3458.924,180,437,50.881,22525.575
ARRIVAL,3459.057,181,640,100.686,26655.104
ARRIVAL,3461.284,182,874,49.317,20313.777
ARRIVAL,3462.845,183,617,109.853,21541.583
ARRIVAL,3463.345,184,1550,2.274,29633.748
ARRIVAL,3463.402,185,2681,39.162,20026.486
ARRIVAL,3466.163,186,2588,80.688,21737.747
ARRIVAL,3467.815,187,2156,85.701,20518.838
COMPLETE,3470.504,61,243,246.176
ARRIVAL,3472.663,188,1478,6.304,21451.427
ARRIVAL,3473.202,189,2199,12.607,22247.279
ARRIVAL,3473.919,190,908,161.976,25747.007
COMPLETE,3473.948,47,2209,287.530
ARRIVAL,3474.627,191,226,9.728,29425.136
ARRIVAL,3476.914,192,839,91.523,22156.916
ARRIVAL,3478.757,193,1120,5.118,29567.360
ARRIVAL,3479.746,194,1918,168.095,23190.267
ARRIVAL,3480.769,195,414,49.925,22012.250
ARRIVAL,3481.228,196,1915,4.013,27398.669
ARRIVAL,3482.246,197,1362,31.656,28356.343
COMPLETE,3487.938,96,1126,178.532
ARRIVAL,3490.909,198,2731,9.223,20426.440
ARRIVAL,3490.969,199,318,53.742,20235.487
ARRIVAL,3491.096,200,1573,54.019,24993.714
ARRIVAL,3492.449,201,2735,75.305,27181.403
ARRIVAL,3496.239,202,2805,57.652,24677.772
ARRIVAL,3498.214,203,1363,43.843,23688.093
ARRIVAL,3498.617,204,360,77.615,29519.170
ARRIVAL,3499.230,205,2490,57.535,24014.300
ARRIVAL,3500.713,206,779,41.785,28157.593
COMPLETE,3502.920,105,234,166.113
ARRIVAL,3504.823,207,2020,12.851,29340.703
ARRIVAL,3505.488,208,2792,74.470,20059.980
ARRIVAL,3510.001,209,2505,4.196,23378.151
ARRIVAL,3514.209,210,2718,36.546,29199.498
COMPLETE,3517.021,109,1440,172.424
ARRIVAL,3517.645,211,2092,25.021,22682.499
ARRIVAL,3518.230,212,2761,24.296,20853.434
ARRIVAL,3520.739,213,741,22.694,29933.778
ARRIVAL,3521.034,214,309,5.881,27335.201
ARRIVAL,3521.574,215,1773,47.348,24426.376
ARRIVAL,3521.687,216,939,15.237,21847.225
ARRIVAL,3523.426,217,2597,0.924,26996.193
ARRIVAL,3526.693,218,1280,31.926,25155.189
ARRIVAL,3529.297,219,947,58.272,25919.892
COMPLETE,3532.720,108,1395,188.326
ARRIVAL,3533.793,220,1466,29.912,25279.008
ARRIVAL,3534.615,221,1808,119.196,27501.979
ARRIVAL,3535.155,222,2134,49.526,29723.296
ARRIVAL,3535.469,223,858,68.918,23077.377
ARRIVAL,3535.575,224,749,29.721,26254.655
COMPLETE,3539.912,70,2218,300.312
ARRIVAL,3540.767,225,918,3.081,25840.977
ARRIVAL,3542.034,226,1845,2.458,25799.023
ARRIVAL,3543.142,227,2268,7.123,29855.592
ARRIVAL,3545.762,228,2944,15.687,25768.293
ARRIVAL,3550.195,229,1074,36.425,25940.532
COMPLETE,3552.787,118,79,189.547
COMPLETE,3556.728,122,567,189.958
ARRIVAL,3557.510,230,805,13.094,25569.993
ARRIVAL,3559.061,231,2578,209.923,28328.589
ARRIVAL,3560.198,232,2442,65.288,20055.997
ARRIVAL,3564.151,233,385,6.302,27798.932
ARRIVAL,3564.468,234,301,5.262,23686.428
