Users,ResponseTime_mean,ResponseTime_ci_lo,ResponseTime_ci_hi,ResponseTime_n,Throughput_mean,Throughput_ci_lo,Throughput_ci_hi,Throughput_n,Goodput_mean,Goodput_ci_lo,Goodput_ci_hi,Goodput_n,Badput_mean,Badput_ci_lo,Badput_ci_hi,Badput_n,Timeouts_mean,Timeouts_ci_lo,Timeouts_ci_hi,Timeouts_n,Util_mean,Util_ci_lo,Util_ci_hi,Util_n
300,1.38489,1.36022,1.40955,15,65.4733,65.1355,65.8111,15,65.4733,65.1355,65.8111,15,0,0,0,15,0,0,0,15,0.98171,0.981586,0.981834,15
310,1.54328,1.52083,1.56574,15,65.3583,65.0469,65.6698,15,65.3583,65.0469,65.6698,15,0,0,0,15,0,0,0,15,0.981863,0.981782,0.981944,15
320,1.66875,1.64743,1.69006,15,65.7504,65.4367,66.0642,15,65.7504,65.4367,66.0642,15,0,0,0,15,0,0,0,15,0.981952,0.981929,0.981975,15
330,1.83118,1.81239,1.84996,15,65.5704,65.3111,65.8298,15,65.57,65.3105,65.8295,15,0.000416667,-0.000317213,0.00115055,15,0.0666667,-0.050754,0.184087,15,0.98199,0.981981,0.981999,15
340,1.98538,1.96398,2.00678,15,65.5796,65.3203,65.8388,15,65.5796,65.3203,65.8388,15,0,0,0,15,0,0,0,15,0.981989,0.981982,0.981995,15
350,2.15908,2.13027,2.1879,15,65.3554,65.0175,65.6933,15,65.3554,65.0175,65.6933,15,0,0,0,15,0,0,0,15,0.981979,0.981968,0.98199,15
360,2.30091,2.27136,2.33047,15,65.4583,65.1373,65.7794,15,65.4571,65.1353,65.7788,15,0.00125,-0.000343428,0.00284343,15,0.2,-0.0549485,0.454949,15,0.981975,0.981964,0.981986,15
370,2.45447,2.41917,2.48976,15,65.51,65.1316,65.8884,15,65.5054,65.1271,65.8837,15,0.00458333,0.00185145,0.00731521,15,0.733333,0.296233,1.17043,15,0.981977,0.981969,0.981986,15
380,2.61175,2.58694,2.63657,15,65.3642,65.0866,65.6417,15,65.3588,65.0801,65.6374,15,0.00541667,0.00240355,0.00842979,15,0.866667,0.384567,1.34877,15,0.981979,0.981969,0.98199,15
390,2.76865,2.74085,2.79645,15,65.3629,65.0846,65.6412,15,65.3508,65.0708,65.6309,15,0.0120833,0.00655657,0.0176101,15,1.93333,1.04905,2.81762,15,0.981981,0.981972,0.981989,15
400,2.91189,2.88572,2.93805,15,65.4371,65.1702,65.704,15,65.4246,65.1568,65.6923,15,0.0125,0.00848038,0.0165196,15,2,1.35686,2.64314,15,0.981983,0.981973,0.981994,15
410,3.06251,3.03651,3.08852,15,65.475,65.2045,65.7455,15,65.4575,65.1845,65.7305,15,0.0175,0.0122152,0.0227848,15,2.8,1.95443,3.64557,15,0.981972,0.981965,0.981979,15
420,3.22478,3.19807,3.25148,15,65.3667,65.1266,65.6067,15,65.3408,65.0998,65.5818,15,0.0258333,0.0201623,0.0315044,15,4.13333,3.22596,5.0407,15,0.981983,0.981975,0.981992,15
430,3.37463,3.34501,3.40424,15,65.4454,65.1546,65.7362,15,65.4137,65.1197,65.7078,15,0.0316667,0.0244228,0.0389105,15,5.06667,3.90766,6.22568,15,0.981981,0.981971,0.981991,15
440,3.52809,3.50635,3.54984,15,65.3983,65.2079,65.5888,15,65.3529,65.1622,65.5437,15,0.0454167,0.038334,0.0524994,15,7.26667,6.13343,8.3999,15,0.981975,0.981966,0.981984,15
450,3.65798,3.62734,3.68861,15,65.6658,65.3824,65.9493,15,65.6112,65.3249,65.8976,15,0.0545833,0.0453129,0.0638538,15,8.73333,7.25006,10.2166,15,0.981987,0.981978,0.981997,15
460,3.826,3.78871,3.86329,15,65.4696,65.1387,65.8005,15,65.4004,65.0634,65.7374,15,0.0691667,0.0561653,0.0821681,15,11.0667,8.98644,13.1469,15,0.981965,0.981954,0.981977,15
